,Dataset,Model,Neurons,R2_X,MSE_X,R2_Y,MSE_Y,R2_Theta,MSE_Theta
0,1,model_24_5,24,0.6997326480738594,0.030365116202846248,-4.809086808305537,0.4627403532469549,-1.670904897704593,0.7502942760464593
1,1,model_12_4,12,-4.396802844250286,0.5457621164548743,-13.08059615809235,1.1216324105894941,-242.13649710598014,68.30041842125516
2,1,model_22_0,22,-0.39988246441390074,0.141565819359245,-2.600474238400484,0.2868066489472868,-1615.287851239928,454.03770245468127
3,1,model_25_3,25,-0.5135556518374329,0.15306124010053332,-10.329536620107868,0.9024884548492846,-8.616910549689784,2.701523721374037
4,2,model_24_5,24,-20.64773498181548,2.0107758902620048,-11.18503680494425,0.6368542302053937,-0.9763254573603439,5.824293224919864
5,2,model_12_4,12,-2.8851615610497996,0.360877902620945,-11.21131807125586,0.63822782766707,-80.57503860755234,240.4042021090635
6,2,model_22_0,22,-3.7254814808934,0.4389320286691338,-27.302176220208032,1.4792208623074774,-268.7711165675994,795.0239575430687
7,2,model_25_3,25,-1.7094390129855377,0.25166950020512957,-21.58564855368485,1.1804450042785355,-14.859975558629378,46.73984633932553
8,3,model_24_5,24,0.07179449698528073,0.0733955323255919,-0.6742840845252989,0.09923718038827002,-32.74866094996558,13.426560349017507
9,3,model_12_4,12,-2.3944921350554456,0.26841098918100104,-37.961523461936395,2.309304476898391,-262.99947691582315,105.02949773842711
10,3,model_22_0,22,-0.836334200284713,0.1452035413707834,-1.8939620433920048,0.17152921418250475,-2836.127691714314,1128.722298853455
11,3,model_25_3,25,-1.9157590233587762,0.2305563638197604,-7.065695383216607,0.47806514742570766,-27.153789413534145,11.200697804714883
12,4,model_24_5,24,0.35936382907618925,0.05918465834702031,-0.010133122926179405,0.07477121212130661,-4.610956565966063,1.8513628743027675
13,4,model_12_4,12,-2.913382677117844,0.36153471695545636,-6.97577308096461,0.5903758696088159,-111.56168570805794,37.14028500111103
14,4,model_22_0,22,-1.145385085361546,0.19819967879243708,-3.021920720199164,0.297707183815481,-2218.736860163318,732.4131572421471
15,4,model_25_3,25,-1.1399621145785526,0.19769868199022014,-9.182318043226385,0.7537068580537248,-10.201971924838425,3.6961460486830657
