X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE,,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,-13096.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,-0.00000,0.00000,13636.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,45.32000,45.32000,5248.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.03000,0.00000,3.02000,3.02000,45.32000,45.32000,-3228.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,63.00000,63.44000,-11820.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,63.00000,63.44000,-20388.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,-0.00000,0.00000,0.08000,3.02000,3.02000,81.36000,81.56000,-28948.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,-0.02000,0.03000,0.92000,3.02000,3.02000,81.36000,81.56000,27856.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,-0.02000,0.03000,0.33000,3.01000,2.95000,98.92000,84.85000,19028.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.01000,1.53000,0.00000,3.01000,2.93000,98.92000,84.85000,10256.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.02000,0.78000,0.00000,3.00000,3.02000,94.08000,111.83000,1524.00000,,,,,,,,,,,,,,,,
0.01000,0.70000,0.04000,1.00000,0.00000,2.94000,3.01000,94.08000,111.83000,-7228.00000,,,,,,,,,,,,,,,,
0.01000,0.70000,0.06000,1.39000,0.39000,2.87000,3.00000,108.92000,129.62000,-15956.00000,,,,,,,,,,,,,,,,
0.01000,0.70000,0.06000,1.56000,1.17000,2.81000,2.98000,108.92000,129.62000,-24868.00000,,,,,,,,,,,,,,,,
0.02000,0.70000,0.07000,2.18000,2.01000,2.78000,2.97000,110.40000,129.68000,31664.00000,,,,,,,,,,,,,,,,
0.02000,0.70000,0.06000,2.68000,2.76000,2.77000,2.97000,110.40000,129.68000,22672.00000,,,,,,,,,,,,,,,,
0.03000,0.70000,0.06000,2.96000,3.18000,2.77000,2.97000,100.89000,116.63000,13656.00000,,,,,,,,,,,,,,,,
