X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE,,,,,,,,,,,,,,,,,
0.22000,0.72000,0.06000,2.68000,3.18000,2.69000,2.94000,79.39000,112.22000,3468.00000,,,,,,,,,,,,,,,,
0.23000,0.72000,0.05000,2.34000,2.96000,2.72000,2.95000,79.39000,112.22000,-5468.00000,,,,,,,,,,,,,,,,
0.24000,0.72000,0.04000,2.43000,3.12000,2.75000,2.96000,87.90000,113.72000,-14416.00000,,,,,,,,,,,,,,,,
0.24000,0.72000,0.04000,3.26000,3.07000,2.79000,2.98000,87.90000,113.72000,-23448.00000,,,,,,,,,,,,,,,,
0.25000,0.72000,0.04000,2.76000,2.96000,2.78000,2.97000,76.95000,112.22000,-32428.00000,,,,,,,,,,,,,,,,
0.25000,0.72000,0.04000,2.70000,2.70000,2.79000,2.98000,76.95000,112.22000,24084.00000,,,,,,,,,,,,,,,,
0.26000,0.72000,0.03000,1.98000,2.57000,2.79000,2.97000,82.54000,117.12000,15160.00000,,,,,,,,,,,,,,,,
0.27000,0.72000,0.02000,2.48000,2.57000,2.82000,2.98000,82.54000,117.12000,6196.00000,,,,,,,,,,,,,,,,
0.27000,0.72000,0.03000,2.76000,2.51000,2.83000,2.98000,86.96000,120.98000,-2712.00000,,,,,,,,,,,,,,,,
0.28000,0.72000,0.04000,2.87000,2.51000,2.81000,2.98000,86.96000,120.98000,-11644.00000,,,,,,,,,,,,,,,,
0.28000,0.72000,0.04000,2.73000,2.73000,2.79000,2.97000,82.57000,124.19000,-20668.00000,,,,,,,,,,,,,,,,
0.29000,0.72000,0.04000,2.79000,2.79000,2.78000,2.97000,82.57000,124.19000,-29588.00000,,,,,,,,,,,,,,,,
0.30000,0.72000,0.04000,2.90000,2.84000,2.78000,2.97000,83.26000,122.79000,26956.00000,,,,,,,,,,,,,,,,
0.30000,0.72000,0.04000,3.15000,2.90000,2.78000,2.97000,83.26000,122.79000,17944.00000,,,,,,,,,,,,,,,,
0.31000,0.72000,0.04000,2.93000,2.93000,2.76000,2.97000,77.43000,122.11000,8976.00000,,,,,,,,,,,,,,,,
0.32000,0.72000,0.04000,3.15000,2.98000,2.76000,2.97000,77.43000,122.11000,92.00000,,,,,,,,,,,,,,,,
0.32000,0.72000,0.04000,2.62000,2.84000,2.74000,2.96000,74.87000,121.18000,-8788.00000,,,,,,,,,,,,,,,,
0.33000,0.72000,0.04000,2.73000,2.96000,2.76000,2.97000,74.87000,121.18000,-17744.00000,,,,,,,,,,,,,,,,
0.34000,0.72000,0.03000,2.84000,2.93000,2.77000,2.97000,79.04000,121.58000,-26780.00000,,,,,,,,,,,,,,,,
0.34000,0.72000,0.04000,3.18000,3.04000,2.77000,2.97000,79.04000,121.58000,29748.00000,,,,,,,,,,,,,,,,
0.35000,0.72000,0.03000,2.65000,3.07000,2.76000,2.97000,72.43000,120.36000,20796.00000,,,,,,,,,,,,,,,,
0.36000,0.72000,0.02000,2.43000,3.12000,2.78000,2.97000,72.43000,120.36000,11808.00000,,,,,,,,,,,,,,,,
0.36000,0.72000,0.00000,2.43000,3.09000,2.82000,2.98000,82.17000,118.94000,2836.00000,,,,,,,,,,,,,,,,
0.37000,0.72000,0.00000,2.87000,2.87000,2.87000,2.99000,82.17000,118.94000,-6072.00000,,,,,,,,,,,,,,,,
0.37000,0.72000,0.02000,3.32000,2.70000,2.87000,2.99000,78.50000,122.04000,-15016.00000,,,,,,,,,,,,,,,,
0.38000,0.72000,0.01000,2.65000,2.70000,2.82000,2.98000,78.50000,122.04000,-23960.00000,,,,,,,,,,,,,,,,
0.39000,0.72000,0.03000,3.54000,2.84000,2.82000,2.98000,81.19000,125.13000,32568.00000,,,,,,,,,,,,,,,,
0.39000,0.72000,0.03000,3.26000,3.04000,2.78000,2.97000,81.19000,125.13000,23632.00000,,,,,,,,,,,,,,,,
0.40000,0.72000,0.04000,3.32000,3.01000,2.76000,2.97000,72.16000,121.57000,14528.00000,,,,,,,,,,,,,,,,
0.41000,0.72000,0.03000,2.59000,3.18000,2.74000,2.96000,72.16000,121.57000,5504.00000,,,,,,,,,,,,,,,,
0.42000,0.72000,0.03000,3.51000,3.18000,2.77000,2.97000,79.36000,119.10000,-3432.00000,,,,,,,,,,,,,,,,
0.42000,0.72000,0.04000,3.43000,3.09000,2.75000,2.96000,79.36000,119.10000,-12548.00000,,,,,,,,,,,,,,,,
0.43000,0.72000,0.04000,3.43000,3.18000,2.73000,2.96000,67.21000,118.87000,-21532.00000,,,,,,,,,,,,,,,,
0.44000,0.72000,0.03000,2.59000,3.34000,2.71000,2.95000,67.21000,118.87000,-30528.00000,,,,,,,,,,,,,,,,
0.44000,0.72000,0.02000,2.37000,3.12000,2.75000,2.96000,75.93000,114.43000,25912.00000,,,,,,,,,,,,,,,,
0.45000,0.72000,0.02000,2.82000,2.76000,2.79000,2.98000,75.93000,114.43000,16888.00000,,,,,,,,,,,,,,,,
0.45000,0.72000,0.01000,2.01000,2.43000,2.79000,2.98000,74.07000,121.07000,7844.00000,,,,,,,,,,,,,,,,
0.46000,0.72000,0.01000,2.85000,2.57000,2.81000,2.98000,74.07000,121.07000,-1020.00000,,,,,,,,,,,,,,,,
0.47000,0.72000,0.00000,1.81000,2.51000,2.79000,2.98000,73.53000,125.28000,-9844.00000,,,,,,,,,,,,,,,,
0.47000,0.72000,0.00000,2.79000,2.68000,2.84000,2.99000,73.53000,125.28000,-18792.00000,,,,,,,,,,,,,,,,
0.48000,0.72000,0.00000,2.84000,2.96000,2.83000,2.98000,74.58000,126.22000,-27780.00000,,,,,,,,,,,,,,,,
0.48000,0.72000,-0.01000,2.23000,3.09000,2.83000,2.99000,74.58000,126.22000,28820.00000,,,,,,,,,,,,,,,,
0.49000,0.72000,-0.03000,2.04000,3.15000,2.89000,3.00000,84.11000,122.02000,19816.00000,,,,,,,,,,,,,,,,
0.50000,0.72000,-0.04000,2.84000,3.23000,2.97000,3.01000,84.11000,122.02000,10848.00000,,,,,,,,,,,,,,,,
0.50000,0.72000,-0.05000,2.65000,3.29000,2.99000,3.02000,80.43000,119.61000,1872.00000,,,,,,,,,,,,,,,,
0.51000,0.72000,-0.07000,2.15000,3.24000,3.02000,3.00000,80.43000,119.61000,-7080.00000,,,,,,,,,,,,,,,,
0.52000,0.72000,-0.08000,2.98000,3.21000,3.01000,2.92000,91.96000,116.90000,-16044.00000,,,,,,,,,,,,,,,,
0.52000,0.72000,-0.07000,3.76000,3.26000,3.00000,2.91000,91.96000,116.90000,-25032.00000,,,,,,,,,,,,,,,,
0.53000,0.72000,-0.07000,3.32000,3.21000,3.01000,2.94000,72.91000,114.88000,31448.00000,,,,,,,,,,,,,,,,
0.54000,0.72000,-0.08000,2.20000,3.15000,3.01000,2.95000,72.91000,114.88000,22476.00000,,,,,,,,,,,,,,,,
0.54000,0.72000,-0.09000,2.37000,3.01000,3.00000,2.88000,91.62000,113.69000,13500.00000,,,,,,,,,,,,,,,,
0.55000,0.72000,-0.10000,2.76000,2.93000,2.99000,2.83000,91.62000,113.69000,4496.00000,,,,,,,,,,,,,,,,
0.56000,0.72000,-0.08000,3.62000,2.76000,2.98000,2.82000,87.82000,114.53000,-4452.00000,,,,,,,,,,,,,,,,
0.56000,0.72000,-0.06000,4.24000,2.84000,3.00000,2.88000,87.82000,114.53000,-13456.00000,,,,,,,,,,,,,,,,
0.57000,0.72000,-0.05000,3.21000,2.84000,3.01000,2.97000,67.46000,117.42000,-22492.00000,,,,,,,,,,,,,,,,
0.58000,0.72000,-0.05000,2.93000,2.93000,3.02000,3.00000,67.46000,117.42000,-31516.00000,,,,,,,,,,,,,,,,
0.58000,0.72000,-0.06000,2.40000,2.82000,3.02000,3.00000,79.81000,117.29000,25060.00000,,,,,,,,,,,,,,,,
0.59000,0.72000,-0.05000,3.15000,2.84000,3.01000,2.97000,79.81000,117.29000,16128.00000,,,,,,,,,,,,,,,,
0.60000,0.72000,-0.06000,2.59000,2.79000,3.02000,2.99000,76.98000,118.82000,7100.00000,,,,,,,,,,,,,,,,
0.60000,0.72000,-0.06000,2.54000,2.70000,3.01000,2.97000,76.98000,118.82000,-1788.00000,,,,,,,,,,,,,,,,
0.61000,0.72000,-0.07000,1.87000,2.62000,3.01000,2.96000,85.30000,121.35000,-10732.00000,,,,,,,,,,,,,,,,
