X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE
0.00000,0.70000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,45.32000,45.32000
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,45.32000,45.32000
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,63.44000,63.44000
0.00000,0.70000,0.00000,0.03000,0.00000,3.02000,3.02000,63.44000,63.44000
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,81.12000,81.57000
0.00000,0.70000,0.00000,0.03000,0.00000,3.02000,3.02000,81.12000,81.57000
0.00000,0.70000,0.00000,0.03000,0.00000,3.02000,3.02000,99.04000,99.69000
0.00000,0.70000,0.03000,1.73000,0.03000,3.02000,3.02000,99.04000,99.69000
0.00000,0.70000,0.05000,1.23000,0.00000,2.89000,3.00000,89.59000,117.09000
0.00000,0.70000,0.07000,1.17000,0.17000,2.81000,2.98000,89.59000,117.09000
0.01000,0.70000,0.06000,1.37000,2.04000,2.75000,2.96000,102.78000,132.27000
0.01000,0.70000,0.05000,1.92000,2.31000,2.79000,2.97000,102.78000,132.27000
0.02000,0.70000,0.05000,2.76000,2.70000,2.81000,2.98000,101.90000,117.12000
0.03000,0.70000,0.06000,3.15000,2.93000,2.81000,2.98000,101.90000,117.12000
0.03000,0.70000,0.06000,3.29000,3.07000,2.79000,2.98000,88.53000,111.84000
0.04000,0.70000,0.06000,3.15000,3.09000,2.78000,2.97000,88.53000,111.84000
0.05000,0.70000,0.06000,3.10000,3.12000,2.77000,2.97000,86.07000,109.54000
0.05000,0.70000,0.06000,2.93000,3.09000,2.77000,2.97000,86.07000,109.54000
0.06000,0.70000,0.05000,2.73000,3.04000,2.78000,2.97000,87.27000,108.83000
0.07000,0.70000,0.05000,2.68000,2.90000,2.80000,2.98000,87.27000,108.83000
0.07000,0.70000,0.04000,2.62000,2.98000,2.81000,2.98000,90.60000,111.14000
0.08000,0.70000,0.04000,2.65000,3.07000,2.83000,2.99000,90.60000,111.14000
0.09000,0.70000,0.03000,2.65000,3.09000,2.86000,2.99000,92.55000,109.31000
0.09000,0.70000,0.03000,2.76000,2.93000,2.89000,3.00000,92.55000,109.31000
0.10000,0.71000,0.03000,2.76000,2.76000,2.90000,3.00000,92.75000,111.08000
0.10000,0.71000,0.03000,2.87000,2.79000,2.90000,3.00000,92.75000,111.08000
0.11000,0.71000,0.03000,2.98000,2.76000,2.89000,3.00000,91.80000,113.60000
0.12000,0.71000,0.03000,2.79000,2.90000,2.88000,3.00000,91.80000,113.60000
0.12000,0.71000,0.02000,2.59000,2.84000,2.88000,3.00000,93.03000,113.16000
0.13000,0.71000,0.02000,2.45000,2.90000,2.90000,3.00000,93.03000,113.16000
0.14000,0.71000,0.01000,2.57000,2.84000,2.93000,3.01000,99.33000,113.88000
0.14000,0.71000,0.01000,2.70000,2.82000,2.95000,3.01000,99.33000,113.88000
0.15000,0.71000,0.01000,2.93000,2.98000,2.96000,3.01000,98.82000,115.85000
0.16000,0.71000,0.01000,2.98000,3.07000,2.96000,3.01000,98.82000,115.85000
0.16000,0.71000,0.01000,2.98000,3.07000,2.97000,3.01000,96.28000,113.27000
0.17000,0.71000,0.01000,3.09000,2.98000,2.97000,3.01000,96.28000,113.27000
