Dataset,Model,Neurons,R2_X,MSE_X,R2_Y,MSE_Y,R2_Theta,MSE_Theta
1,model_24_8,24,0.7697148327087822,0.023502308387057316,-2.275406479856184,0.2612289060299931,0.011536453564904514,0.280334651371459
1,model_14_0,14,0.8063623207856141,0.019762160567187038,-2.832006489238186,0.30562034643330105,-1.8984577106219014,0.8220213428735288
1,model_22_2,22,0.8288746463758856,0.017464610860638573,-1.8197955569941655,0.22489181514172374,0.3101318651663856,0.19565106246794567
1,model_21_6,21,0.7736462436109949,0.023101078761602552,-0.8759952798945103,0.14961935188752248,0.2932733478751206,0.20043224694817352
2,model_24_8,24,-12.543806602879972,1.2708963679810554,-5.954183827700183,0.3649344731957264,0.17295124135951667,2.454955123954411
2,model_14_0,14,-2.6053156018507964,0.3383083233662899,-22.634531161484873,1.2402685048802993,-1.2540329146278708,6.690717561106953
2,model_22_2,22,-11.52258154921655,1.1750687140838032,-7.183854123983341,0.4294638403935063,-0.3717564082723155,4.071828157799473
2,model_21_6,21,-14.025164524555866,1.4099010405623613,-7.318889593907857,0.436550092252905,-0.48738831476396016,4.415062022028848
3,model_24_8,24,-1.1372828990572286,0.17161692197870726,-5.469700133873058,0.38328375659417646,0.2086288482183044,0.3183423390747917
3,model_14_0,14,-0.8228832873465735,0.14637164740280348,-6.459346007475186,0.4419132417763704,0.6569647855575265,0.13799167723612446
3,model_22_2,22,0.26557399574288965,0.05897203890384534,-8.966373035009987,0.5904367771973901,0.7571642607847293,0.09768475519824156
3,model_21_6,21,-0.24404107796460184,0.09989248531840766,-3.9815313845355824,0.2951203337323099,0.2594247384648035,0.29790883896545534
4,model_24_8,24,0.5208559142594154,0.044840793863817376,-6.759721359222352,0.5740346515980724,-0.016257092514096794,0.3399738770947356
4,model_14_0,14,0.5293997410455802,0.04404121814718419,-5.815213168386228,0.5041635305669333,-0.4225016117242859,0.47587701150996625
4,model_22_2,22,0.7219441149515804,0.026021914900203884,-8.01898631711332,0.66719028024877,-1.3377435135487454,0.7820577409089148
4,model_21_6,21,0.6552566730812446,0.032262872314070476,-4.625285011014585,0.41613717451334165,-0.06303471094183921,0.3556226419744918
