X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE
0.00000,0.70000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,45.32000,45.32000
0.00000,0.70000,0.00000,0.03000,0.00000,3.02000,3.02000,45.32000,45.32000
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,63.00000,63.44000
0.00000,0.70000,0.00000,0.03000,0.00000,3.02000,3.02000,63.00000,63.44000
0.00000,0.70000,0.00000,0.14000,0.00000,3.02000,3.02000,80.91000,81.56000
0.00000,0.70000,0.00000,0.00000,0.00000,3.01000,3.02000,80.91000,81.56000
0.00000,0.70000,0.00000,0.03000,0.00000,3.01000,3.02000,99.11000,99.66000
0.00000,0.70000,0.03000,1.65000,0.03000,3.00000,3.02000,99.11000,99.66000
0.01000,0.70000,0.09000,2.93000,0.00000,2.89000,3.00000,90.71000,117.06000
0.01000,0.70000,0.14000,3.10000,0.03000,2.71000,2.95000,90.71000,117.06000
0.01000,0.70000,0.20000,3.01000,0.00000,2.56000,2.87000,71.42000,132.94000
0.02000,0.70000,0.21000,2.29000,1.73000,2.44000,2.78000,71.42000,132.94000
0.02000,0.70000,0.16000,1.62000,4.07000,2.41000,2.77000,78.20000,122.93000
0.03000,0.70000,0.11000,1.59000,4.57000,2.50000,2.83000,78.20000,122.93000
0.04000,0.70000,0.06000,1.81000,4.63000,2.63000,2.91000,92.68000,88.71000
0.04000,0.71000,0.03000,2.37000,3.71000,2.78000,2.97000,92.68000,88.71000
0.05000,0.71000,0.04000,2.93000,2.65000,2.87000,3.00000,90.80000,92.96000
0.06000,0.71000,0.05000,3.01000,2.37000,2.85000,2.99000,90.80000,92.96000
0.06000,0.71000,0.06000,3.01000,2.34000,2.81000,2.98000,83.23000,108.52000
0.07000,0.71000,0.06000,2.79000,2.87000,2.76000,2.97000,83.23000,108.52000
0.07000,0.71000,0.04000,2.51000,3.46000,2.77000,2.97000,84.77000,104.49000
0.08000,0.71000,0.02000,2.48000,3.51000,2.82000,2.98000,84.77000,104.49000
0.09000,0.71000,0.01000,2.48000,3.40000,2.89000,3.00000,91.14000,95.93000
0.09000,0.71000,0.00000,2.70000,3.09000,2.96000,3.01000,91.14000,95.93000
0.10000,0.71000,0.00000,2.96000,2.82000,2.99000,3.02000,91.65000,99.35000
0.11000,0.71000,0.01000,3.01000,2.79000,2.98000,3.01000,91.65000,99.35000
0.11000,0.71000,0.01000,3.07000,2.90000,2.96000,3.01000,88.34000,103.41000
0.12000,0.71000,0.01000,2.96000,3.07000,2.95000,3.01000,88.34000,103.41000
0.13000,0.71000,0.00000,2.84000,3.23000,2.95000,3.01000,88.79000,100.56000
0.13000,0.71000,-0.00000,2.84000,3.12000,2.98000,3.01000,88.79000,100.56000
0.14000,0.71000,-0.01000,2.79000,3.07000,3.00000,3.02000,91.17000,99.49000
0.15000,0.71000,-0.01000,2.90000,2.96000,3.02000,3.02000,91.17000,99.49000
0.15000,0.71000,-0.01000,2.98000,2.90000,3.02000,3.02000,91.55000,101.34000
0.16000,0.71000,-0.01000,3.01000,2.96000,3.02000,3.02000,91.55000,101.34000
0.17000,0.71000,-0.01000,3.04000,3.01000,3.02000,3.02000,90.54000,101.76000
