X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE
0.39000,0.71000,-0.02000,3.01000,3.01000,3.02000,3.00000,89.96000,99.98000
0.39000,0.71000,-0.02000,2.98000,3.01000,3.02000,3.00000,90.00000,99.13000
0.40000,0.71000,-0.02000,3.01000,3.01000,3.02000,3.00000,90.00000,99.13000
0.41000,0.71000,-0.02000,2.96000,2.96000,3.02000,3.00000,90.03000,99.04000
0.41000,0.71000,-0.02000,3.01000,2.96000,3.02000,3.00000,90.03000,99.04000
0.42000,0.71000,-0.01000,3.04000,2.98000,3.02000,3.00000,90.07000,99.85000
0.43000,0.71000,-0.01000,3.04000,2.98000,3.02000,3.01000,90.07000,99.85000
0.43000,0.71000,-0.01000,3.07000,2.98000,3.02000,3.01000,89.71000,99.82000
0.44000,0.71000,-0.01000,3.04000,2.93000,3.02000,3.02000,89.71000,99.82000
0.45000,0.71000,-0.01000,2.98000,2.96000,3.02000,3.02000,89.58000,100.98000
0.45000,0.71000,-0.01000,2.93000,2.96000,3.02000,3.02000,89.58000,100.98000
0.46000,0.71000,-0.01000,2.96000,3.01000,3.02000,3.02000,91.12000,101.12000
0.47000,0.71000,-0.01000,3.04000,3.07000,3.02000,3.02000,91.12000,101.12000
0.47000,0.71000,-0.01000,3.10000,3.10000,3.02000,3.02000,90.03000,99.80000
0.48000,0.71000,-0.01000,3.09000,3.04000,3.02000,3.02000,90.03000,99.80000
0.49000,0.71000,-0.01000,3.07000,2.93000,3.02000,3.02000,89.08000,99.98000
0.49000,0.71000,-0.00000,3.07000,2.90000,3.01000,3.02000,89.08000,99.98000
0.50000,0.71000,-0.00000,3.01000,2.90000,3.00000,3.02000,88.70000,101.90000
0.51000,0.71000,-0.00000,3.01000,2.98000,2.99000,3.02000,88.70000,101.90000
0.51000,0.71000,-0.00000,2.98000,3.04000,2.99000,3.02000,88.96000,101.32000
0.52000,0.71000,-0.01000,2.96000,3.10000,2.99000,3.02000,88.96000,101.32000
0.53000,0.71000,-0.01000,3.01000,3.09000,3.00000,3.02000,89.84000,99.87000
0.54000,0.71000,-0.01000,2.98000,2.98000,3.01000,3.02000,89.84000,99.87000
0.54000,0.71000,-0.00000,3.04000,2.90000,3.01000,3.02000,89.78000,101.10000
0.55000,0.71000,-0.00000,3.04000,2.93000,2.99000,3.02000,89.78000,101.10000
0.56000,0.70000,-0.00000,3.07000,3.01000,2.99000,3.02000,88.79000,102.10000
0.56000,0.70000,-0.00000,3.01000,3.09000,2.98000,3.01000,88.79000,102.10000
0.57000,0.70000,-0.01000,3.01000,3.18000,2.99000,3.02000,88.90000,100.12000
0.58000,0.70000,-0.01000,2.98000,3.09000,3.00000,3.02000,88.90000,100.12000
0.58000,0.70000,-0.01000,3.01000,3.01000,3.01000,3.02000,89.47000,99.69000
0.59000,0.70000,-0.01000,3.01000,2.98000,3.01000,3.02000,89.47000,99.69000
0.60000,0.70000,-0.01000,3.04000,2.96000,3.00000,3.02000,89.15000,100.90000
0.60000,0.70000,-0.01000,3.04000,2.98000,3.00000,3.02000,89.15000,100.90000
0.61000,0.70000,-0.00000,3.04000,3.01000,2.99000,3.02000,88.53000,101.09000
0.62000,0.70000,-0.01000,3.01000,3.07000,2.99000,3.02000,88.53000,101.09000
0.62000,0.70000,-0.01000,2.96000,3.07000,2.99000,3.02000,88.70000,100.04000
0.63000,0.70000,-0.01000,2.96000,3.04000,3.00000,3.02000,88.70000,100.04000
0.64000,0.70000,-0.01000,2.96000,3.01000,3.01000,3.02000,89.63000,100.18000
0.64000,0.70000,-0.01000,2.96000,3.07000,3.01000,3.02000,89.63000,100.18000
0.65000,0.70000,-0.01000,3.01000,3.07000,3.02000,3.02000,90.12000,99.67000
0.66000,0.70000,-0.01000,3.04000,3.04000,3.02000,3.02000,90.12000,99.67000
0.66000,0.70000,-0.01000,3.10000,2.98000,3.02000,3.02000,89.27000,99.78000
0.67000,0.70000,-0.01000,3.09000,2.98000,3.02000,3.02000,89.27000,99.78000
0.68000,0.70000,-0.01000,3.04000,2.90000,3.01000,3.02000,88.13000,100.50000
0.68000,0.70000,-0.01000,2.98000,2.93000,3.00000,3.02000,88.13000,100.50000
0.69000,0.70000,-0.01000,2.93000,2.93000,2.99000,3.02000,89.05000,101.52000
0.70000,0.70000,-0.01000,3.01000,2.98000,2.99000,3.02000,89.05000,101.52000
0.70000,0.70000,-0.01000,3.04000,3.04000,2.99000,3.02000,88.63000,101.20000
0.71000,0.70000,-0.01000,3.01000,3.04000,2.99000,3.02000,88.63000,101.20000
0.72000,0.70000,-0.01000,3.04000,3.07000,2.99000,3.02000,88.50000,100.56000
0.72000,0.70000,-0.01000,3.01000,3.01000,2.99000,3.02000,88.50000,100.56000
